,loss,accuracy,val_loss,val_accuracy
0,0.6713475015986224,0.8045108914375305,0.15913345979283686,0.9547826051712036
1,0.19627100613798298,0.9386413097381592,0.09456915296006786,0.9719565510749817
2,0.13778081657562363,0.9574728012084961,0.08639789803176308,0.9742934703826904
3,0.1096146592304475,0.9653396606445312,0.06452755274165058,0.9811413288116455
4,0.09189630015044595,0.9712771773338318,0.06361553998562791,0.9821739196777344
5,0.08148501431652973,0.9741304516792297,0.05931031899116731,0.9827173948287964
6,0.07232685090357731,0.9775272011756897,0.05033733971305596,0.9857608675956726
7,0.06478465947519947,0.9793206453323364,0.051454163058635614,0.9863043427467346
8,0.06052169948701782,0.9802581667900085,0.053313658180464386,0.9862499833106995
9,0.05825505759909309,0.9819973111152649,0.05076866328609986,0.9857608675956726
